Data_Zone,Council_area,SMR
S01006506,Aberdeen City,67
S01006507,Aberdeen City,86
S01006508,Aberdeen City,43
S01006509,Aberdeen City,88
S01006510,Aberdeen City,149
S01006511,Aberdeen City,68
S01006512,Aberdeen City,77
S01006513,Aberdeen City,137
S01006514,Aberdeen City,86
S01006515,Aberdeen City,61
S01006516,Aberdeen City,35
S01006517,Aberdeen City,60
S01006518,Aberdeen City,53
S01006519,Aberdeen City,73
S01006520,Aberdeen City,27
S01006521,Aberdeen City,61
S01006522,Aberdeen City,65
S01006523,Aberdeen City,60
S01006524,Aberdeen City,119
S01006525,Aberdeen City,64
S01006526,Aberdeen City,130
S01006527,Aberdeen City,118
S01006528,Aberdeen City,101
S01006529,Aberdeen City,132
S01006530,Aberdeen City,123
S01006531,Aberdeen City,104
S01006532,Aberdeen City,79
S01006533,Aberdeen City,47
S01006534,Aberdeen City,81
S01006535,Aberdeen City,81
S01006536,Aberdeen City,69
S01006537,Aberdeen City,62
S01006538,Aberdeen City,76
S01006539,Aberdeen City,128
S01006540,Aberdeen City,70
S01006541,Aberdeen City,63
S01006542,Aberdeen City,69
S01006543,Aberdeen City,62
S01006544,Aberdeen City,94
S01006545,Aberdeen City,72
S01006546,Aberdeen City,61
S01006547,Aberdeen City,96
S01006548,Aberdeen City,69
S01006549,Aberdeen City,68
S01006550,Aberdeen City,92
S01006551,Aberdeen City,109
S01006552,Aberdeen City,47
S01006553,Aberdeen City,90
S01006554,Aberdeen City,102
S01006555,Aberdeen City,115
S01006556,Aberdeen City,112
S01006557,Aberdeen City,112
S01006558,Aberdeen City,79
S01006559,Aberdeen City,43
S01006560,Aberdeen City,110
S01006561,Aberdeen City,61
S01006562,Aberdeen City,82
S01006563,Aberdeen City,239
S01006564,Aberdeen City,98
S01006565,Aberdeen City,94
S01006566,Aberdeen City,86
S01006567,Aberdeen City,186
S01006568,Aberdeen City,70
S01006569,Aberdeen City,62
S01006570,Aberdeen City,97
S01006571,Aberdeen City,61
S01006572,Aberdeen City,61
S01006573,Aberdeen City,60
S01006574,Aberdeen City,87
S01006575,Aberdeen City,89
S01006576,Aberdeen City,91
S01006577,Aberdeen City,59
S01006578,Aberdeen City,102
S01006579,Aberdeen City,116
S01006580,Aberdeen City,65
S01006581,Aberdeen City,63
S01006582,Aberdeen City,92
S01006583,Aberdeen City,95
S01006584,Aberdeen City,74
S01006585,Aberdeen City,133
S01006586,Aberdeen City,132
S01006587,Aberdeen City,237
S01006588,Aberdeen City,91
S01006589,Aberdeen City,113
S01006590,Aberdeen City,95
S01006591,Aberdeen City,118
S01006592,Aberdeen City,49
S01006593,Aberdeen City,117
S01006594,Aberdeen City,107
S01006595,Aberdeen City,116
S01006596,Aberdeen City,111
S01006597,Aberdeen City,51
S01006598,Aberdeen City,63
S01006599,Aberdeen City,75
S01006600,Aberdeen City,126
S01006601,Aberdeen City,69
S01006602,Aberdeen City,90
S01006603,Aberdeen City,109
S01006604,Aberdeen City,96
S01006605,Aberdeen City,96
S01006606,Aberdeen City,101
S01006607,Aberdeen City,63
S01006608,Aberdeen City,74
S01006609,Aberdeen City,111
S01006610,Aberdeen City,94
S01006611,Aberdeen City,128
S01006612,Aberdeen City,94
S01006613,Aberdeen City,65
S01006614,Aberdeen City,32
S01006615,Aberdeen City,50
S01006616,Aberdeen City,126
S01006617,Aberdeen City,105
S01006618,Aberdeen City,91
S01006619,Aberdeen City,109
S01006620,Aberdeen City,94
S01006621,Aberdeen City,114
S01006622,Aberdeen City,45
S01006623,Aberdeen City,193
S01006624,Aberdeen City,93
S01006625,Aberdeen City,110
S01006626,Aberdeen City,130
S01006627,Aberdeen City,197
S01006628,Aberdeen City,176
S01006629,Aberdeen City,227
S01006630,Aberdeen City,127
S01006631,Aberdeen City,146
S01006632,Aberdeen City,169
S01006633,Aberdeen City,110
S01006634,Aberdeen City,134
S01006635,Aberdeen City,59
S01006636,Aberdeen City,171
S01006637,Aberdeen City,161
S01006638,Aberdeen City,155
S01006639,Aberdeen City,140
S01006640,Aberdeen City,46
S01006641,Aberdeen City,73
S01006642,Aberdeen City,94
S01006643,Aberdeen City,71
S01006644,Aberdeen City,147
S01006645,Aberdeen City,119
S01006646,Aberdeen City,136
S01006647,Aberdeen City,115
S01006648,Aberdeen City,113
S01006649,Aberdeen City,95
S01006650,Aberdeen City,137
S01006651,Aberdeen City,123
S01006652,Aberdeen City,93
S01006653,Aberdeen City,27
S01006654,Aberdeen City,103
S01006655,Aberdeen City,240
S01006656,Aberdeen City,82
S01006657,Aberdeen City,113
S01006658,Aberdeen City,96
S01006659,Aberdeen City,84
S01006660,Aberdeen City,62
S01006661,Aberdeen City,75
S01006662,Aberdeen City,122
S01006663,Aberdeen City,38
S01006664,Aberdeen City,34
S01006665,Aberdeen City,91
S01006666,Aberdeen City,141
S01006667,Aberdeen City,157
S01006668,Aberdeen City,169
S01006669,Aberdeen City,150
S01006670,Aberdeen City,113
S01006671,Aberdeen City,55
S01006672,Aberdeen City,128
S01006673,Aberdeen City,91
S01006674,Aberdeen City,141
S01006675,Aberdeen City,187
S01006676,Aberdeen City,138
S01006677,Aberdeen City,138
S01006678,Aberdeen City,120
S01006679,Aberdeen City,139
S01006680,Aberdeen City,117
S01006681,Aberdeen City,154
S01006682,Aberdeen City,168
S01006683,Aberdeen City,100
S01006684,Aberdeen City,193
S01006685,Aberdeen City,141
S01006686,Aberdeen City,114
S01006687,Aberdeen City,114
S01006688,Aberdeen City,101
S01006689,Aberdeen City,74
S01006690,Aberdeen City,83
S01006691,Aberdeen City,75
S01006692,Aberdeen City,77
S01006693,Aberdeen City,86
S01006694,Aberdeen City,111
S01006695,Aberdeen City,83
S01006696,Aberdeen City,79
S01006697,Aberdeen City,98
S01006698,Aberdeen City,111
S01006699,Aberdeen City,123
S01006700,Aberdeen City,92
S01006701,Aberdeen City,123
S01006702,Aberdeen City,71
S01006703,Aberdeen City,116
S01006704,Aberdeen City,89
S01006705,Aberdeen City,74
S01006706,Aberdeen City,124
S01006707,Aberdeen City,96
S01006708,Aberdeen City,84
S01006709,Aberdeen City,132
S01006710,Aberdeen City,120
S01006711,Aberdeen City,96
S01006712,Aberdeen City,83
S01006713,Aberdeen City,122
S01006714,Aberdeen City,76
S01006715,Aberdeen City,92
S01006716,Aberdeen City,105
S01006717,Aberdeen City,131
S01006718,Aberdeen City,53
S01006719,Aberdeen City,116
S01006720,Aberdeen City,92
S01006721,Aberdeen City,94
S01006722,Aberdeen City,128
S01006723,Aberdeen City,104
S01006724,Aberdeen City,96
S01006725,Aberdeen City,116
S01006726,Aberdeen City,147
S01006727,Aberdeen City,207
S01006728,Aberdeen City,112
S01006729,Aberdeen City,110
S01006730,Aberdeen City,79
S01006731,Aberdeen City,78
S01006732,Aberdeen City,106
S01006733,Aberdeen City,60
S01006734,Aberdeen City,143
S01006735,Aberdeen City,80
S01006736,Aberdeen City,97
S01006737,Aberdeen City,81
S01006738,Aberdeen City,91
S01006739,Aberdeen City,96
S01006740,Aberdeen City,87
S01006741,Aberdeen City,72
S01006742,Aberdeen City,89
S01006743,Aberdeen City,75
S01006744,Aberdeen City,70
S01006745,Aberdeen City,110
S01006746,Aberdeen City,101
S01006747,Aberdeen City,58
S01006748,Aberdeen City,67
S01006749,Aberdeen City,90
S01006750,Aberdeen City,147
S01006751,Aberdeen City,102
S01006752,Aberdeen City,113
S01006753,Aberdeen City,59
S01006754,Aberdeen City,63
S01006755,Aberdeen City,114
S01006756,Aberdeen City,195
S01006757,Aberdeen City,168
S01006758,Aberdeen City,71
S01006759,Aberdeen City,81
S01006760,Aberdeen City,46
S01006761,Aberdeen City,44
S01006762,Aberdeen City,93
S01006763,Aberdeen City,107
S01006764,Aberdeen City,66
S01006765,Aberdeen City,91
S01006766,Aberdeen City,66
S01006767,Aberdeen City,67
S01006768,Aberdeen City,42
S01006769,Aberdeen City,65
S01006770,Aberdeen City,39
S01006771,Aberdeen City,88
S01006772,Aberdeen City,61
S01006773,Aberdeen City,120
S01006774,Aberdeen City,59
S01006775,Aberdeen City,77
S01006776,Aberdeen City,107
S01006777,Aberdeen City,58
S01006778,Aberdeen City,115
S01006779,Aberdeen City,115
S01006780,Aberdeen City,91
S01006781,Aberdeen City,65
S01006782,Aberdeen City,86
S01006783,Aberdeen City,77
S01006784,Aberdeen City,83
S01006785,Aberdeen City,41
S01006786,Aberdeen City,86
S01006787,Aberdeen City,64
S01006788,Aberdeen City,115
S01006789,Aberdeenshire,89
S01006790,Aberdeenshire,74
S01006791,Aberdeenshire,83
S01006792,Aberdeenshire,63
S01006793,Aberdeenshire,80
S01006794,Aberdeenshire,81
S01006795,Aberdeenshire,99
S01006796,Aberdeenshire,56
S01006797,Aberdeenshire,69
S01006798,Aberdeenshire,55
S01006799,Aberdeenshire,86
S01006800,Aberdeenshire,95
S01006801,Aberdeenshire,159
S01006802,Aberdeenshire,88
S01006803,Aberdeenshire,103
S01006804,Aberdeenshire,55
S01006805,Aberdeenshire,60
S01006806,Aberdeenshire,90
S01006807,Aberdeenshire,87
S01006808,Aberdeenshire,77
S01006809,Aberdeenshire,96
S01006810,Aberdeenshire,99
S01006811,Aberdeenshire,50
S01006812,Aberdeenshire,59
S01006813,Aberdeenshire,77
S01006814,Aberdeenshire,41
S01006815,Aberdeenshire,89
S01006816,Aberdeenshire,99
S01006817,Aberdeenshire,127
S01006818,Aberdeenshire,70
S01006819,Aberdeenshire,70
S01006820,Aberdeenshire,71
S01006821,Aberdeenshire,57
S01006822,Aberdeenshire,81
S01006823,Aberdeenshire,128
S01006824,Aberdeenshire,80
S01006825,Aberdeenshire,74
S01006826,Aberdeenshire,107
S01006827,Aberdeenshire,110
S01006828,Aberdeenshire,88
S01006829,Aberdeenshire,17
S01006830,Aberdeenshire,101
S01006831,Aberdeenshire,66
S01006832,Aberdeenshire,82
S01006833,Aberdeenshire,81
S01006834,Aberdeenshire,143
S01006835,Aberdeenshire,95
S01006836,Aberdeenshire,85
S01006837,Aberdeenshire,100
S01006838,Aberdeenshire,58
S01006839,Aberdeenshire,97
S01006840,Aberdeenshire,46
S01006841,Aberdeenshire,64
S01006842,Aberdeenshire,63
S01006843,Aberdeenshire,50
S01006844,Aberdeenshire,59
S01006845,Aberdeenshire,54
S01006846,Aberdeenshire,115
S01006847,Aberdeenshire,136
S01006848,Aberdeenshire,85
S01006849,Aberdeenshire,35
S01006850,Aberdeenshire,73
S01006851,Aberdeenshire,115
S01006852,Aberdeenshire,64
S01006853,Aberdeenshire,35
S01006854,Aberdeenshire,99
S01006855,Aberdeenshire,109
S01006856,Aberdeenshire,89
S01006857,Aberdeenshire,87
S01006858,Aberdeenshire,65
S01006859,Aberdeenshire,41
S01006860,Aberdeenshire,74
S01006861,Aberdeenshire,0
S01006862,Aberdeenshire,63
S01006863,Aberdeenshire,50
S01006864,Aberdeenshire,30
S01006865,Aberdeenshire,82
S01006866,Aberdeenshire,47
S01006867,Aberdeenshire,61
S01006868,Aberdeenshire,76
S01006869,Aberdeenshire,80
S01006870,Aberdeenshire,63
S01006871,Aberdeenshire,116
S01006872,Aberdeenshire,48
S01006873,Aberdeenshire,101
S01006874,Aberdeenshire,106
S01006875,Aberdeenshire,90
S01006876,Aberdeenshire,43
S01006877,Aberdeenshire,112
S01006878,Aberdeenshire,69
S01006879,Aberdeenshire,111
S01006880,Aberdeenshire,36
S01006881,Aberdeenshire,56
S01006882,Aberdeenshire,72
S01006883,Aberdeenshire,106
S01006884,Aberdeenshire,102
S01006885,Aberdeenshire,85
S01006886,Aberdeenshire,75
S01006887,Aberdeenshire,72
S01006888,Aberdeenshire,73
S01006889,Aberdeenshire,143
S01006890,Aberdeenshire,53
S01006891,Aberdeenshire,142
S01006892,Aberdeenshire,96
S01006893,Aberdeenshire,71
S01006894,Aberdeenshire,107
S01006895,Aberdeenshire,110
S01006896,Aberdeenshire,71
S01006897,Aberdeenshire,65
S01006898,Aberdeenshire,87
S01006899,Aberdeenshire,68
S01006900,Aberdeenshire,41
S01006901,Aberdeenshire,101
S01006902,Aberdeenshire,70
S01006903,Aberdeenshire,141
S01006904,Aberdeenshire,157
S01006905,Aberdeenshire,102
S01006906,Aberdeenshire,93
S01006907,Aberdeenshire,71
S01006908,Aberdeenshire,117
S01006909,Aberdeenshire,51
S01006910,Aberdeenshire,54
S01006911,Aberdeenshire,96
S01006912,Aberdeenshire,56
S01006913,Aberdeenshire,48
S01006914,Aberdeenshire,38
S01006915,Aberdeenshire,65
S01006916,Aberdeenshire,48
S01006917,Aberdeenshire,74
S01006918,Aberdeenshire,58
S01006919,Aberdeenshire,79
S01006920,Aberdeenshire,86
S01006921,Aberdeenshire,36
S01006922,Aberdeenshire,51
S01006923,Aberdeenshire,92
S01006924,Aberdeenshire,53
S01006925,Aberdeenshire,43
S01006926,Aberdeenshire,101
S01006927,Aberdeenshire,70
S01006928,Aberdeenshire,87
S01006929,Aberdeenshire,67
S01006930,Aberdeenshire,59
S01006931,Aberdeenshire,34
S01006932,Aberdeenshire,44
S01006933,Aberdeenshire,18
S01006934,Aberdeenshire,158
S01006935,Aberdeenshire,58
S01006936,Aberdeenshire,88
S01006937,Aberdeenshire,65
S01006938,Aberdeenshire,81
S01006939,Aberdeenshire,36
S01006940,Aberdeenshire,56
S01006941,Aberdeenshire,75
S01006942,Aberdeenshire,66
S01006943,Aberdeenshire,18
S01006944,Aberdeenshire,53
S01006945,Aberdeenshire,75
S01006946,Aberdeenshire,65
S01006947,Aberdeenshire,43
S01006948,Aberdeenshire,69
S01006949,Aberdeenshire,59
S01006950,Aberdeenshire,85
S01006951,Aberdeenshire,57
S01006952,Aberdeenshire,110
S01006953,Aberdeenshire,42
S01006954,Aberdeenshire,59
S01006955,Aberdeenshire,93
S01006956,Aberdeenshire,87
S01006957,Aberdeenshire,128
S01006958,Aberdeenshire,60
S01006959,Aberdeenshire,102
S01006960,Aberdeenshire,95
S01006961,Aberdeenshire,30
S01006962,Aberdeenshire,72
S01006963,Aberdeenshire,48
S01006964,Aberdeenshire,78
S01006965,Aberdeenshire,79
S01006966,Aberdeenshire,87
S01006967,Aberdeenshire,57
S01006968,Aberdeenshire,65
S01006969,Aberdeenshire,123
S01006970,Aberdeenshire,73
S01006971,Aberdeenshire,103
S01006972,Aberdeenshire,36
S01006973,Aberdeenshire,79
S01006974,Aberdeenshire,60
S01006975,Aberdeenshire,62
S01006976,Aberdeenshire,73
S01006977,Aberdeenshire,96
S01006978,Aberdeenshire,60
S01006979,Aberdeenshire,73
S01006980,Aberdeenshire,82
S01006981,Aberdeenshire,41
S01006982,Aberdeenshire,77
S01006983,Aberdeenshire,61
S01006984,Aberdeenshire,77
S01006985,Aberdeenshire,48
S01006986,Aberdeenshire,126
S01006987,Aberdeenshire,77
S01006988,Aberdeenshire,64
S01006989,Aberdeenshire,57
S01006990,Aberdeenshire,69
S01006991,Aberdeenshire,69
S01006992,Aberdeenshire,44
S01006993,Aberdeenshire,70
S01006994,Aberdeenshire,111
S01006995,Aberdeenshire,89
S01006996,Aberdeenshire,66
S01006997,Aberdeenshire,108
S01006998,Aberdeenshire,91
S01006999,Aberdeenshire,123
S01007000,Aberdeenshire,87
S01007001,Aberdeenshire,129
S01007002,Aberdeenshire,53
S01007003,Aberdeenshire,28
S01007004,Aberdeenshire,97
S01007005,Aberdeenshire,59
S01007006,Aberdeenshire,70
S01007007,Aberdeenshire,86
S01007008,Aberdeenshire,125
S01007009,Aberdeenshire,64
S01007010,Aberdeenshire,96
S01007011,Aberdeenshire,93
S01007012,Aberdeenshire,87
S01007013,Aberdeenshire,63
S01007014,Aberdeenshire,85
S01007015,Aberdeenshire,31
S01007016,Aberdeenshire,75
S01007017,Aberdeenshire,95
S01007018,Aberdeenshire,61
S01007019,Aberdeenshire,77
S01007020,Aberdeenshire,73
S01007021,Aberdeenshire,130
S01007022,Aberdeenshire,103
S01007023,Aberdeenshire,69
S01007024,Aberdeenshire,140
S01007025,Aberdeenshire,94
S01007026,Aberdeenshire,124
S01007027,Aberdeenshire,101
S01007028,Aberdeenshire,41
S01007029,Aberdeenshire,89
S01007030,Aberdeenshire,112
S01007031,Aberdeenshire,89
S01007032,Aberdeenshire,96
S01007033,Aberdeenshire,102
S01007034,Aberdeenshire,88
S01007035,Aberdeenshire,106
S01007036,Aberdeenshire,144
S01007037,Aberdeenshire,78
S01007038,Aberdeenshire,55
S01007039,Aberdeenshire,88
S01007040,Aberdeenshire,90
S01007041,Aberdeenshire,80
S01007042,Aberdeenshire,98
S01007043,Aberdeenshire,104
S01007044,Aberdeenshire,93
S01007045,Aberdeenshire,106
S01007046,Aberdeenshire,72
S01007047,Aberdeenshire,56
S01007048,Aberdeenshire,83
S01007049,Aberdeenshire,159
S01007050,Aberdeenshire,86
S01007051,Aberdeenshire,69
S01007052,Aberdeenshire,88
S01007053,Aberdeenshire,92
S01007054,Aberdeenshire,75
S01007055,Aberdeenshire,38
S01007056,Aberdeenshire,137
S01007057,Aberdeenshire,53
S01007058,Aberdeenshire,96
S01007059,Aberdeenshire,86
S01007060,Aberdeenshire,98
S01007061,Aberdeenshire,38
S01007062,Aberdeenshire,60
S01007063,Aberdeenshire,80
S01007064,Aberdeenshire,63
S01007065,Aberdeenshire,68
S01007066,Aberdeenshire,78
S01007067,Aberdeenshire,114
S01007068,Aberdeenshire,110
S01007069,Aberdeenshire,101
S01007070,Aberdeenshire,96
S01007071,Aberdeenshire,43
S01007072,Aberdeenshire,69
S01007073,Aberdeenshire,82
S01007074,Aberdeenshire,111
S01007075,Aberdeenshire,129
S01007076,Aberdeenshire,120
S01007077,Aberdeenshire,112
S01007078,Aberdeenshire,156
S01007079,Aberdeenshire,106
S01007080,Aberdeenshire,119
S01007081,Aberdeenshire,120
S01007082,Aberdeenshire,105
S01007083,Aberdeenshire,143
S01007084,Aberdeenshire,148
S01007085,Aberdeenshire,84
S01007086,Aberdeenshire,132
S01007087,Aberdeenshire,201
S01007088,Aberdeenshire,144
S01007089,Aberdeenshire,54
S01007090,Aberdeenshire,71
S01007091,Aberdeenshire,87
S01007092,Aberdeenshire,94
S01007093,Aberdeenshire,48
S01007094,Aberdeenshire,82
S01007095,Aberdeenshire,69
S01007096,Aberdeenshire,98
S01007097,Aberdeenshire,66
S01007098,Aberdeenshire,64
S01007099,Aberdeenshire,91
S01007100,Aberdeenshire,84
S01007101,Aberdeenshire,131
S01007102,Aberdeenshire,84
S01007103,Aberdeenshire,95
S01007104,Aberdeenshire,64
S01007105,Aberdeenshire,83
S01007106,Aberdeenshire,97
S01007107,Aberdeenshire,35
S01007108,Aberdeenshire,97
S01007109,Aberdeenshire,71
S01007110,Aberdeenshire,104
S01007111,Aberdeenshire,67
S01007112,Aberdeenshire,69
S01007113,Aberdeenshire,138
S01007114,Aberdeenshire,74
S01007115,Aberdeenshire,146
S01007116,Aberdeenshire,31
S01007117,Aberdeenshire,39
S01007118,Aberdeenshire,79
S01007119,Aberdeenshire,139
S01007120,Aberdeenshire,117
S01007121,Aberdeenshire,81
S01007122,Aberdeenshire,47
S01007123,Aberdeenshire,149
S01007124,Aberdeenshire,87
S01007125,Aberdeenshire,105
S01007126,Aberdeenshire,191
S01007127,Aberdeenshire,136
S01007128,Aberdeenshire,106
S01007129,Angus,46
S01007130,Angus,66
S01007131,Angus,81
S01007132,Angus,75
S01007133,Angus,90
S01007134,Angus,76
S01007135,Angus,105
S01007136,Angus,69
S01007137,Angus,22
S01007138,Angus,73
S01007139,Angus,80
S01007140,Angus,42
S01007141,Angus,70
S01007142,Angus,195
S01007143,Angus,46
S01007144,Angus,75
S01007145,Angus,68
S01007146,Angus,96
S01007147,Angus,76
S01007148,Angus,39
S01007149,Angus,83
S01007150,Angus,97
S01007151,Angus,80
S01007152,Angus,82
S01007153,Angus,76
S01007154,Angus,72
S01007155,Angus,78
S01007156,Angus,59
S01007157,Angus,80
S01007158,Angus,38
S01007159,Angus,132
S01007160,Angus,83
S01007161,Angus,88
S01007162,Angus,88
S01007163,Angus,108
S01007164,Angus,84
S01007165,Angus,107
S01007166,Angus,48
S01007167,Angus,67
S01007168,Angus,49
S01007169,Angus,64
S01007170,Angus,48
S01007171,Angus,41
S01007172,Angus,114
S01007173,Angus,39
S01007174,Angus,164
S01007175,Angus,97
S01007176,Angus,64
S01007177,Angus,76
S01007178,Angus,109
S01007179,Angus,136
S01007180,Angus,81
S01007181,Angus,103
S01007182,Angus,107
S01007183,Angus,92
S01007184,Angus,95
S01007185,Angus,179
S01007186,Angus,139
S01007187,Angus,111
S01007188,Angus,123
S01007189,Angus,155
S01007190,Angus,75
S01007191,Angus,51
S01007192,Angus,74
S01007193,Angus,83
S01007194,Angus,175
S01007195,Angus,103
S01007196,Angus,104
S01007197,Angus,196
S01007198,Angus,87
S01007199,Angus,87
S01007200,Angus,128
S01007201,Angus,91
S01007202,Angus,68
S01007203,Angus,98
S01007204,Angus,104
S01007205,Angus,90
S01007206,Angus,128
S01007207,Angus,64
S01007208,Angus,82
S01007209,Angus,152
S01007210,Angus,129
S01007211,Angus,99
S01007212,Angus,72
S01007213,Angus,98
S01007214,Angus,95
S01007215,Angus,59
S01007216,Angus,117
S01007217,Angus,89
S01007218,Angus,52
S01007219,Angus,128
S01007220,Angus,76
S01007221,Angus,66
S01007222,Angus,76
S01007223,Angus,72
S01007224,Angus,88
S01007225,Angus,75
S01007226,Angus,55
S01007227,Angus,102
S01007228,Angus,82
S01007229,Angus,67
S01007230,Angus,90
S01007231,Angus,135
S01007232,Angus,131
S01007233,Angus,87
S01007234,Angus,123
S01007235,Angus,93
S01007236,Angus,103
S01007237,Angus,73
S01007238,Angus,77
S01007239,Angus,124
S01007240,Angus,102
S01007241,Angus,39
S01007242,Angus,57
S01007243,Angus,95
S01007244,Angus,60
S01007245,Angus,85
S01007246,Angus,98
S01007247,Angus,50
S01007248,Angus,45
S01007249,Angus,171
S01007250,Angus,72
S01007251,Angus,84
S01007252,Angus,90
S01007253,Angus,65
S01007254,Angus,96
S01007255,Angus,98
S01007256,Angus,104
S01007257,Angus,105
S01007258,Angus,93
S01007259,Angus,107
S01007260,Angus,134
S01007261,Angus,69
S01007262,Angus,96
S01007263,Angus,83
S01007264,Angus,104
S01007265,Angus,140
S01007266,Angus,88
S01007267,Angus,89
S01007268,Angus,87
S01007269,Angus,67
S01007270,Angus,89
S01007271,Angus,99
S01007272,Angus,94
S01007273,Angus,65
S01007274,Angus,93
S01007275,Angus,149
S01007276,Angus,65
S01007277,Angus,52
S01007278,Angus,67
S01007279,Angus,62
S01007280,Angus,89
S01007281,Angus,40
S01007282,Angus,35
S01007283,Angus,97
S01007284,Argyll and Bute,94
S01007285,Argyll and Bute,74
S01007286,Argyll and Bute,58
S01007287,Argyll and Bute,75
S01007288,Argyll and Bute,90
S01007289,Argyll and Bute,54
S01007290,Argyll and Bute,114
S01007291,Argyll and Bute,131
S01007292,Argyll and Bute,79
S01007293,Argyll and Bute,77
S01007294,Argyll and Bute,93
S01007295,Argyll and Bute,100
S01007296,Argyll and Bute,91
S01007297,Argyll and Bute,78
S01007298,Argyll and Bute,75
S01007299,Argyll and Bute,88
S01007300,Argyll and Bute,134
S01007301,Argyll and Bute,75
S01007302,Argyll and Bute,123
S01007303,Argyll and Bute,141
S01007304,Argyll and Bute,67
S01007305,Argyll and Bute,67
S01007306,Argyll and Bute,61
S01007307,Argyll and Bute,81
S01007308,Argyll and Bute,67
S01007309,Argyll and Bute,66
S01007310,Argyll and Bute,73
S01007311,Argyll and Bute,88
S01007312,Argyll and Bute,61
S01007313,Argyll and Bute,92
S01007314,Argyll and Bute,83
S01007315,Argyll and Bute,97
S01007316,Argyll and Bute,122
S01007317,Argyll and Bute,144
S01007318,Argyll and Bute,78
S01007319,Argyll and Bute,109
S01007320,Argyll and Bute,52
S01007321,Argyll and Bute,87
S01007322,Argyll and Bute,82
S01007323,Argyll and Bute,125
S01007324,Argyll and Bute,101
S01007325,Argyll and Bute,64
S01007326,Argyll and Bute,98
S01007327,Argyll and Bute,153
S01007328,Argyll and Bute,113
S01007329,Argyll and Bute,86
S01007330,Argyll and Bute,78
S01007331,Argyll and Bute,104
S01007332,Argyll and Bute,50
S01007333,Argyll and Bute,114
S01007334,Argyll and Bute,121
S01007335,Argyll and Bute,104
S01007336,Argyll and Bute,148
S01007337,Argyll and Bute,137
S01007338,Argyll and Bute,120
S01007339,Argyll and Bute,61
S01007340,Argyll and Bute,99
S01007341,Argyll and Bute,106
S01007342,Argyll and Bute,85
S01007343,Argyll and Bute,90
S01007344,Argyll and Bute,80
S01007345,Argyll and Bute,165
S01007346,Argyll and Bute,98
S01007347,Argyll and Bute,79
S01007348,Argyll and Bute,132
S01007349,Argyll and Bute,70
S01007350,Argyll and Bute,101
S01007351,Argyll and Bute,87
S01007352,Argyll and Bute,88
S01007353,Argyll and Bute,89
S01007354,Argyll and Bute,78
S01007355,Argyll and Bute,89
S01007356,Argyll and Bute,78
S01007357,Argyll and Bute,68
S01007358,Argyll and Bute,88
S01007359,Argyll and Bute,99
S01007360,Argyll and Bute,80
S01007361,Argyll and Bute,72
S01007362,Argyll and Bute,109
S01007363,Argyll and Bute,108
S01007364,Argyll and Bute,111
S01007365,Argyll and Bute,65
S01007366,Argyll and Bute,117
S01007367,Argyll and Bute,120
S01007368,Argyll and Bute,129
S01007369,Argyll and Bute,111
S01007370,Argyll and Bute,112
S01007371,Argyll and Bute,75
S01007372,Argyll and Bute,151
S01007373,Argyll and Bute,94
S01007374,Argyll and Bute,78
S01007375,Argyll and Bute,67
S01007376,Argyll and Bute,116
S01007377,Argyll and Bute,67
S01007378,Argyll and Bute,44
S01007379,Argyll and Bute,104
S01007380,Argyll and Bute,106
S01007381,Argyll and Bute,115
S01007382,Argyll and Bute,74
S01007383,Argyll and Bute,65
S01007384,Argyll and Bute,61
S01007385,Argyll and Bute,72
S01007386,Argyll and Bute,63
S01007387,Argyll and Bute,77
S01007388,Argyll and Bute,62
S01007389,Argyll and Bute,21
S01007390,Argyll and Bute,86
S01007391,Argyll and Bute,43
S01007392,Argyll and Bute,86
S01007393,Argyll and Bute,124
S01007394,Argyll and Bute,70
S01007395,Argyll and Bute,107
S01007396,Argyll and Bute,103
S01007397,Argyll and Bute,61
S01007398,Argyll and Bute,180
S01007399,Argyll and Bute,231
S01007400,Argyll and Bute,67
S01007401,Argyll and Bute,93
S01007402,Argyll and Bute,79
S01007403,Argyll and Bute,50
S01007404,Argyll and Bute,39
S01007405,Argyll and Bute,75
S01007406,Argyll and Bute,81
S01007407,Argyll and Bute,58
S01007408,Argyll and Bute,102
S01007409,Clackmannanshire,122
S01007410,Clackmannanshire,147
S01007411,Clackmannanshire,128
S01007412,Clackmannanshire,98
S01007413,Clackmannanshire,45
S01007414,Clackmannanshire,82
S01007415,Clackmannanshire,138
S01007416,Clackmannanshire,154
S01007417,Clackmannanshire,97
S01007418,Clackmannanshire,129
S01007419,Clackmannanshire,130
S01007420,Clackmannanshire,138
S01007421,Clackmannanshire,69
S01007422,Clackmannanshire,145
S01007423,Clackmannanshire,84
S01007424,Clackmannanshire,66
S01007425,Clackmannanshire,80
S01007426,Clackmannanshire,91
S01007427,Clackmannanshire,90
S01007428,Clackmannanshire,107
S01007429,Clackmannanshire,143
S01007430,Clackmannanshire,92
S01007431,Clackmannanshire,75
S01007432,Clackmannanshire,138
S01007433,Clackmannanshire,109
S01007434,Clackmannanshire,105
S01007435,Clackmannanshire,95
S01007436,Clackmannanshire,61
S01007437,Clackmannanshire,53
S01007438,Clackmannanshire,81
S01007439,Clackmannanshire,100
S01007440,Clackmannanshire,89
S01007441,Clackmannanshire,86
S01007442,Clackmannanshire,62
S01007443,Clackmannanshire,64
S01007444,Clackmannanshire,81
S01007445,Clackmannanshire,91
