InterZone,MMWard,Council,SPConst,CHP,HBCode
S02001341,S13002491,S12000034,S16000085,S03000013,S08000020
S02001342,S13002491,S12000034,S16000085,S03000013,S08000020
S02001343,S13002491,S12000034,S16000085,S03000013,S08000020
S02001344,S13002829,S12000041,S16000082,S03000038,S08000027
S02001345,S13002512,S12000041,S16000082,S03000038,S08000027
S02001346,S13002829,S12000041,S16000082,S03000038,S08000027
S02001347,S13002829,S12000041,S16000082,S03000038,S08000027
S02001348,S13002512,S12000041,S16000082,S03000038,S08000027
S02001349,S13002512,S12000041,S16000082,S03000038,S08000027
S02001350,S13002513,S12000041,S16000082,S03000038,S08000027
S02001351,S13002513,S12000041,S16000082,S03000038,S08000027
S02001352,S13002513,S12000041,S16000082,S03000038,S08000027
S02001353,S13002514,S12000041,S16000082,S03000038,S08000027
S02001354,S13002514,S12000041,S16000082,S03000038,S08000027
S02001355,S13002514,S12000041,S16000082,S03000038,S08000027
S02001356,S13002515,S12000041,S16000081,S03000038,S08000027
S02001357,S13002515,S12000041,S16000081,S03000038,S08000027
S02001358,S13002515,S12000041,S16000081,S03000038,S08000027
S02001359,S13002515,S12000041,S16000081,S03000038,S08000027
S02001360,S13002514,S12000041,S16000082,S03000038,S08000027
S02001361,S13002509,S12000041,S16000081,S03000038,S08000027
S02001362,S13002509,S12000041,S16000081,S03000038,S08000027
S02001363,S13002510,S12000041,S16000081,S03000038,S08000027
S02001364,S13002510,S12000041,S16000081,S03000038,S08000027
S02001365,S13002510,S12000041,S16000081,S03000038,S08000027
S02001366,S13002510,S12000041,S16000081,S03000038,S08000027
S02001367,S13002508,S12000041,S16000082,S03000038,S08000027
S02001368,S13002508,S12000041,S16000082,S03000038,S08000027
S02001369,S13002509,S12000041,S16000081,S03000038,S08000027
S02001370,S13002519,S12000035,S16000083,S03000025,S08000022
S02001371,S13002519,S12000035,S16000083,S03000025,S08000022
S02001372,S13002520,S12000035,S16000083,S03000025,S08000022
S02001373,S13002520,S12000035,S16000083,S03000025,S08000022
S02001374,S13002520,S12000035,S16000083,S03000025,S08000022
S02001375,S13002518,S12000035,S16000083,S03000025,S08000022
S02001376,S13002518,S12000035,S16000083,S03000025,S08000022
S02001377,S13002517,S12000035,S16000083,S03000025,S08000022
S02001378,S13002517,S12000035,S16000083,S03000025,S08000022
S02001379,S13002516,S12000035,S16000083,S03000025,S08000022
S02001380,S13002516,S12000035,S16000083,S03000025,S08000022
S02001381,S13002523,S12000035,S16000083,S03000025,S08000022
S02001382,S13002523,S12000035,S16000083,S03000025,S08000022
S02001383,S13002522,S12000035,S16000083,S03000025,S08000022
S02001384,S13002521,S12000035,S16000083,S03000025,S08000022
S02001385,S13002522,S12000035,S16000083,S03000025,S08000022
S02001386,S13002522,S12000035,S16000083,S03000025,S08000022
S02001387,S13002524,S12000035,S16000096,S03000025,S08000022
S02001388,S13002525,S12000035,S16000096,S03000025,S08000022
S02001389,S13002526,S12000035,S16000096,S03000025,S08000022
S02001390,S13002525,S12000035,S16000096,S03000025,S08000022
S02001391,S13002525,S12000035,S16000096,S03000025,S08000022
S02001392,S13002526,S12000035,S16000096,S03000025,S08000022
S02001393,S13002527,S12000005,S16000088,S03000009,S08000019
S02001394,S13002527,S12000005,S16000088,S03000009,S08000019
S02001395,S13002527,S12000005,S16000088,S03000009,S08000019
S02001396,S13002528,S12000005,S16000088,S03000009,S08000019
S02001397,S13002528,S12000005,S16000088,S03000009,S08000019
S02001398,S13002528,S12000005,S16000088,S03000009,S08000019
S02001399,S13002531,S12000005,S16000088,S03000009,S08000019
S02001400,S13002531,S12000005,S16000088,S03000009,S08000019
S02001401,S13002529,S12000005,S16000088,S03000009,S08000019
S02001402,S13002530,S12000005,S16000088,S03000009,S08000019
S02001403,S13002530,S12000005,S16000088,S03000009,S08000019
S02001404,S13002530,S12000005,S16000088,S03000009,S08000019
S02001405,S13002532,S12000006,S16000114,S03000005,S08000017
S02001406,S13002533,S12000006,S16000114,S03000005,S08000017
S02001407,S13002532,S12000006,S16000114,S03000005,S08000017
S02001408,S13002533,S12000006,S16000114,S03000005,S08000017
S02001409,S13002533,S12000006,S16000114,S03000005,S08000017
S02001410,S13002533,S12000006,S16000114,S03000005,S08000017
S02001411,S13002534,S12000006,S16000114,S03000005,S08000017
S02001412,S13002534,S12000006,S16000114,S03000005,S08000017
S02001413,S13002535,S12000006,S16000114,S03000005,S08000017
